"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","12pF","","","","1My_Footprint:C0603","~"
"C3,C4,C7,C10,C12,C14,C15,C16,C27,C34,C37,C39,C40,C42","14","10uF","","","","1My_Footprint:C0603","~"
"C5,C8,C9,C11,C13,C21,C28,C29,C30,C31,C32,C33,C38","13","100nF","","","","1My_Footprint:C0603","~"
"C6,C26,C41,C43","4","2.2uF","","","","1My_Footprint:C0603","~"
"C17,C18,C19,C20","4","150pF","","","","1My_Footprint:C0603","~"
"C22,C23,C24,C25","4","100pF","","","","1My_Footprint:C0603","~"
"C35,C36","2","100uF","","","","Capacitor_SMD:CP_Elec_5x5.4","~"
"D3","1","Power","","","","1My_Footprint:LED.0603","~"
"F1","1","500mA","","","","PCM_Fuse_US_Handsoldering_AKL:Fuse_0603_1608Metric","~"
"FB1,FB2,FB3,FB4","4","120R","","","","PCM_Ferrite_SMD_Handsoldering_AKL:Ferrite_0603_1608Metric","~"
"IC1","1","ES9018K2M","","","","footprint:QFN50P500X500X90-29N-D","https://www.mouser.com/datasheet/2/1082/ES9018K2M_Datasheet_v3_4-1923459.pdf"
"J2","1","SWD","","","","Connector_JST:JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal","~"
"J3","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"PJ1,PJ2","2","~","","","","1My_Footprint:PJ327A","https://atta.szlcsc.com/upload/public/pdf/source/20240312/2AEB1F200FF9849B98209D1ED7D816C7.pdf"
"PS1,PS2","2","SGM3204YN6G_TR","","","","footprint:SOT95P280X125-6N","https://datasheet.lcsc.com/szlcsc/SG-Micro-SGM3204YN6G-TR_C194031.pdf"
"R1,R8,R18,R26,R30,R33","6","10k","","","","1My_Footprint:R0603","~"
"R2,R3","2","5.1k","","","","1My_Footprint:R0603","~"
"R4,R5,R6","3","470","","","","1My_Footprint:R0603","~"
"R7,R24,R25","3","100","","","","1My_Footprint:R0603","~"
"R9,R11,R20,R21","4","13k","","","","1My_Footprint:R0603","~"
"R10,R12,R14,R16","4","2k","","","","1My_Footprint:R0603","~"
"R13,R15,R22,R23","4","3k","","","","1My_Footprint:R0603","~"
"R17","1","1M","","","","1My_Footprint:R0603","~"
"R19,R34","2","0","","","","1My_Footprint:R0603","~"
"R27,R28","2","4.7k","","","","1My_Footprint:R0603","~"
"R29","1","18k","","","","1My_Footprint:R0603","~"
"R31,R32","2","4.7","","","","1My_Footprint:R0603","~"
"SW1","1","RST","","","","1My_Footprint:小龟轻触开关3_4_22.0MM","~"
"U1","1","CH32V305FBP6","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","http://www.wch-ic.com/products/CH32V307.html?"
"U2","1","ME6210A33M3G","","","","Package_TO_SOT_SMD:SOT-23","https://item.szlcsc.com/236120.html?lcsc_vid=FQJcXgAFTlEPBQICRgNZU1FVQ1FfA1dUQFgIUwZWEQIxVlNSRFlcUlFfRFZYVTsOAxUeFF5JWAIASQYPGQZABAsLWA%3D%3D"
"U3,U4","2","OPA1678","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa1678.pdf"
"U5","1","LP5907MFX-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp5907.pdf"
"U7","1","sgm8262","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://item.szlcsc.com/datasheet/SGM8262-2YS8G%252FTR/5778896.html?spm=sc.it.pdf.fd&lcsc_vid=QVleUgBUFlJdAQZeFQVeUlRWTgJbA1UFRgQKBAUFRQUxVlNRRVRXUlJTR1dWUTsOAxUeFF5JWBYZEEoEHg8JSQcJGk4%3D"
"X1","1","8M","","","","PCM_Crystal_AKL:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
